Id,Date,Feature,Activity,Hours,Minutes,Note
a3b31ba8-8a32-4ad8-9334-e15c02c9fbe6,2026-03-20,Summary Test 1,Testing,5,30,Entry 1
c702e045-9734-44d3-9133-d0ea79c494f1,2026-03-20,Summary Test 2,Testing,3,45,Entry 2
d3accc04-ebba-47e1-ac83-b3c7190c0dbb,2026-03-21,Summary Test 3,Testing,8,0,Entry 3
00e3be26-1ea5-4111-8380-b5a7832d5731,2026-03-23,test,Bug Fix,7,,11111
b4e944ad-6f3b-467e-b333-5b3852fb9eb1,2026-03-24,test,meeting,8,,dddd
197cb913-848c-4fce-aed3-71d965120486,2026-03-24,test,meeting,8,,dddd
6f8cd197-d8a7-4d2f-8d7f-9f23a591915b,2026-03-24,test,meeting,8,0,test
35d1e69f-c859-49b1-b993-4b890f28b541,2026-03-24,test,meeting,8,0,test2
50e3a1e6-dad3-4961-bf88-00384fd34914,2026-03-23,test,meeting,6,0,adssda
d4c0c5d8-b731-46fe-858c-0db53658846e,2026-03-24,test,meeting,7,0,
ce8cda07-5fcb-4f98-a8e4-d596c3fd77a6,2026-03-24,test,meeting,0,0,
ca448932-e4f0-4f8c-ab3e-2197ca1f3b4d,2026-03-24,test,meeting,8,30,
